datetime,HVAC
04/05/22 0:00,1.3203981
04/05/22 1:00,1.9215133
04/05/22 2:00,2.160698
04/05/22 3:00,1.9316478
04/05/22 4:00,2.2931976
04/05/22 5:00,2.6059487
04/05/22 6:00,2.3201632
04/05/22 7:00,2.204579
04/05/22 8:00,2.172648
04/05/22 9:00,1.5036275
04/05/22 10:00,0.635576
04/05/22 11:00,0.6225431
04/05/22 12:00,0.04415357
04/05/22 13:00,0.047395945
04/05/22 14:00,-0.024303198
04/05/22 15:00,-0.03649919
04/05/22 16:00,-0.00240626
04/05/22 17:00,-0.07216811
04/05/22 18:00,-0.08159816
04/05/22 19:00,-0.047941044
04/05/22 20:00,-0.08454992
04/05/22 21:00,0.05336166
04/05/22 22:00,0.25827873
04/05/22 23:00,0.08145057
