datetime,HVAC
04/05/22 0:00,1.0533204
04/05/22 1:00,1.1113874
04/05/22 2:00,1.2077031
04/05/22 3:00,1.4078097
04/05/22 4:00,1.4950216
04/05/22 5:00,1.4465331
04/05/22 6:00,1.6750581
04/05/22 7:00,1.2966948
04/05/22 8:00,1.6248608
04/05/22 9:00,1.0001839
04/05/22 10:00,0.5027212
04/05/22 11:00,0.40090567
04/05/22 12:00,-0.011693435
04/05/22 13:00,0.008619837
04/05/22 14:00,-0.062257893
04/05/22 15:00,0.0014167204
04/05/22 16:00,-0.06722881
04/05/22 17:00,-0.020239647
04/05/22 18:00,0.052486375
04/05/22 19:00,0.003859439
04/05/22 20:00,-0.010982903
04/05/22 21:00,-0.01193944
04/05/22 22:00,-0.06281026
04/05/22 23:00,0.0909145
